11
4 4 3
4 6 0 85
4 7 0 93
4 8 60 12
4 9 9 44
4 10 41 66
4 11 17 75
4 12 8 97
4 13 51 36
4 14 24 88
4 15 0 62
4 16 11 70
4 17 0 83
4 18 9 83
4 19 7 104
5 0 0 96
5 1 0 77
5 2 37 36
5 3 0 68
5 4 4 89
5 6 23 49
5 7 36 37
5 8 6 79
5 9 0 94
5 10 0 97
5 11 47 31
5 12 35 36
5 13 7 61
5 14 8 1
5 15 22 27
5 16 9 107
5 17 0 79
5 18 0 29
5 19 0 71
6 0 6 102
6 1 31 39
6 2 0 46
6 3 20 50
6 4 30 85
6 5 0 49
6 7 31 17
6 8 0 73
6 9 27 66
6 10 38 59
6 11 64 21
6 12 32 21
6 13 0 49
6 14 0 49
6 15 33 41
6 16 37 68
6 17 0 32
6 18 0 21
6 19 29 25
7 0 10 108
7 1 7 41
7 2 40 46
7 3 0 61
7 4 26 93
7 5 18 37
7 6 45 17
7 8 0 81
7 9 16 81
7 10 22 75
7 11 61 19
7 12 4 5
7 13 40 58
7 14 44 37
7 15 53 39
7 16 0 85
7 17 11 48
7 18 25 12
7 19 16 34
8 0 56 34
8 1 0 111
8 2 20 43
8 3 42 24
8 4 0 12
8 5 7 79
8 6 5 73
8 7 23 81
8 9 25 37
8 10 28 56
8 11 0 63
8 12 13 85
8 13 49 24
8 14 0 79
8 15 8 52
8 16 29 62
8 17 16 71
8 18 6 72
8 19 0 92
9 0 38 68
9 1 24 97
9 2 15 62
9 3 54 28
9 4 49 44
9 5 0 94
9 6 0 66
9 7 8 81
9 8 9 37
9 10 0 22
9 11 13 68
9 12 0 85
9 13 13 36
9 14 0 94
9 15 21 68
9 16 0 26
9 17 40 49
9 18 22 76
9 19 12 76
10 0 0 89
10 1 0 82
10 2 0 70
10 3 16 40
10 4 0 66
10 5 6 97
10 6 11 59
10 7 27 75
10 8 0 56
10 9 20 22
10 11 0 67
10 12 21 80
10 13 19 47
10 14 11 96
10 15 25 74
10 16 66 10
10 17 25 33
10 18 34 73
10 19 13 62
11 0 20 89
11 1 27 57
11 2 0 27
11 3 0 44
11 4 0 75
11 5 0 31
11 6 59 21
11 7 41 19
11 8 12 63
11 9 23 68
11 10 0 67
11 12 13 23
11 13 17 40
11 14 5 31
11 15 17 21
11 16 0 77
11 17 0 48
11 18 45 9
11 19 6 45
12 0 8 111
12 1 32 41
12 2 6 49
12 3 0 65
12 4 0 97
12 5 43 36
12 6 48 21
12 7 48 5
12 8 0 85
12 9 26 85
12 10 17 80
12 11 29 23
12 13 0 62
12 14 13 36
12 15 21 41
12 16 6 89
12 17 9 53
12 18 0 15
12 19 53 37
13 0 27 54
13 1 10 88
13 2 33 27
13 3 0 8
13 4 35 36
13 5 33 61
13 6 34 49
13 7 0 58
13 8 33 24
13 9 55 36
13 10 29 47
13 11 15 40
13 12 15 62
13 14 0 60
13 15 6 34
13 16 0 56
13 17 0 52
13 18 27 49
13 19 6 69
14 0 0 95
14 1 12 76
14 2 50 35
14 3 40 67
14 4 0 88
14 5 69 1
14 6 45 49
14 7 0 37
14 8 31 79
14 9 0 94
14 10 8 96
14 11 0 31
14 12 48 36
14 13 44 60
14 15 22 27
14 16 0 106
14 17 0 78
14 18 0 28
14 19 30 71
15 0 4 72
15 1 24 78
15 2 0 9
15 3 17 41
15 4 22 62
15 5 18 27
15 6 51 41
15 7 27 39
15 8 48 52
15 9 38 68
15 10 0 74
15 11 0 21
15 12 22 41
15 13 42 34
15 14 0 27
15 16 0 83
15 17 12 63
15 18 39 27
15 19 12 66
16 0 12 93
16 1 18 89
16 2 28 80
16 3 0 48
16 4 0 70
16 5 0 107
16 6 0 68
16 7 31 85
16 8 22 62
16 9 0 26
16 10 61 10
16 11 3 77
16 12 0 89
16 13 5 56
16 14 0 106
16 15 0 83
16 17 15 41
16 18 0 83
16 19 0 69
17 0 6 105
17 1 0 49
17 2 0 64
17 3 44 48
17 4 26 83
17 5 29 79
17 6 47 32
17 7 0 48
17 8 0 71
17 9 3 49
17 10 0 33
17 11 0 48
17 12 0 53
17 13 8 52
17 14 0 78
17 15 41 63
17 16 42 41
17 18 19 51
17 19 0 29
18 0 25 97
18 1 0 53
18 2 0 34
18 3 10 53
18 4 0 83
18 5 24 29
18 6 54 21
18 7 34 12
18 8 0 72
18 9 0 76
18 10 6 73
18 11 17 9
18 12 64 15
18 13 0 49
18 14 4 28
18 15 0 27
18 16 30 83
18 17 0 51
18 19 30 43
19 0 4 123
19 1 0 21
19 2 36 70
19 3 10 68
19 4 9 104
19 5 28 71
19 6 4 25
19 7 9 34
19 8 0 92
19 9 3 76
19 10 37 62
19 11 41 45
19 12 6 37
19 13 26 69
19 14 9 71
19 15 25 66
19 16 20 69
19 17 0 29
19 18 28 43
100 475 99
0 1 285 1
0 2 9 5
0 3 36 5
0 4 0 4
0 5 201 14
1 2 0 4
1 3 62 4
1 4 180 3
1 5 271 13
1 6 0 4
2 3 278 0
2 4 45 1
2 5 0 9
2 6 295 0
2 7 0 7
3 4 247 1
3 5 208 9
3 6 0 0
3 7 241 7
3 8 0 17
4 5 190 10
4 6 188 1
4 7 242 7
4 8 8 17
4 9 0 0
5 6 242 9
5 7 70 2
5 8 0 8
5 9 157 10
5 10 0 2
6 7 261 7
6 8 0 17
6 9 0 1
6 10 0 11
6 11 0 10
7 8 279 10
7 9 0 7
7 10 31 5
7 11 211 3
7 12 141 23
8 9 202 17
8 10 233 5
8 11 139 7
8 12 0 12
8 13 15 10
9 10 266 12
9 11 15 11
9 12 50 30
9 13 47 27
9 14 258 21
10 11 167 2
10 12 138 18
10 13 0 15
10 14 0 9
10 15 0 26
11 12 0 19
11 13 0 17
11 14 122 10
11 15 247 28
11 16 107 3
12 13 0 2
12 14 14 9
12 15 0 9
12 16 208 22
12 17 0 10
13 14 110 7
13 15 190 11
13 16 52 20
13 17 0 8
13 18 167 13
14 15 273 18
14 16 101 13
14 17 215 1
14 18 0 20
14 19 0 20
15 16 0 31
15 17 140 19
15 18 0 2
15 19 246 38
15 20 193 19
16 17 114 12
16 18 0 33
16 19 69 7
16 20 93 12
16 21 14 13
17 18 0 21
17 19 102 20
17 20 245 0
17 21 76 1
17 22 124 0
18 19 237 40
18 20 229 21
18 21 30 20
18 22 141 21
18 23 0 36
19 20 0 19
19 21 258 20
19 22 0 19
19 23 132 4
19 24 0 31
20 21 4 1
20 22 4 0
20 23 0 15
20 24 0 12
20 25 0 3
21 22 127 1
21 23 7 16
21 24 0 11
21 25 5 4
21 26 70 44
22 23 73 15
22 24 233 12
22 25 0 3
22 26 167 45
22 27 255 22
23 24 26 27
23 25 0 13
23 26 45 60
23 27 73 38
23 28 134 72
24 25 0 14
24 26 38 33
24 27 0 11
24 28 0 45
24 29 135 47
25 26 222 48
25 27 132 25
25 28 26 60
25 29 22 62
25 30 0 39
26 27 46 23
26 28 0 12
26 29 74 14
26 30 177 9
26 31 87 19
27 28 3 35
27 29 73 37
27 30 93 14
27 31 54 4
27 32 65 3
28 29 0 2
28 30 80 21
28 31 234 31
28 32 0 32
28 33 21 12
29 30 189 23
29 31 160 32
29 32 12 34
29 33 120 14
29 34 155 52
30 31 130 10
30 32 127 11
30 33 0 9
30 34 37 29
30 35 0 13
31 32 44 2
31 33 53 18
31 34 0 20
31 35 0 4
31 36 197 47
32 33 263 20
32 34 0 18
32 35 0 2
32 36 43 49
32 37 178 47
33 34 114 38
33 35 0 22
33 36 178 29
33 37 36 67
33 38 60 64
34 35 48 16
34 36 67 67
34 37 70 29
34 38 268 26
34 39 202 29
35 36 140 51
35 37 127 45
35 38 96 42
35 39 0 13
35 40 167 41
36 37 136 95
36 38 34 92
36 39 0 38
36 40 17 91
36 41 19 46
37 38 0 3
37 39 114 58
37 40 0 4
37 41 0 50
37 42 270 11
38 39 181 55
38 40 274 1
38 41 171 47
38 42 101 8
38 43 0 97
39 40 231 53
39 41 0 8
39 42 0 47
39 43 75 42
39 44 0 62
40 41 127 46
40 42 218 6
40 43 167 95
40 44 0 116
40 45 177 49
41 42 121 39
41 43 0 50
41 44 0 70
41 45 161 3
41 46 119 81
42 43 0 89
42 44 0 109
42 45 0 42
42 46 37 120
42 47 0 45
43 44 282 20
43 45 223 47
43 46 149 31
43 47 135 44
43 48 0 62
44 45 134 67
44 46 205 11
44 47 143 64
44 48 120 82
44 49 294 5
45 46 0 78
45 47 276 3
45 48 248 15
45 49 235 62
45 50 108 33
46 47 0 75
46 48 35 92
46 49 0 16
46 50 3 45
46 51 0 9
47 48 253 17
47 49 0 59
47 50 224 30
47 51 10 66
47 52 4 8
48 49 194 77
48 50 0 47
48 51 0 84
48 52 262 26
48 53 106 15
49 50 117 29
49 51 191 7
49 52 208 51
49 53 0 91
49 54 13 100
50 51 135 36
50 52 139 22
50 53 239 62
50 54 0 71
50 55 202 19
51 52 0 58
51 53 98 98
51 54 143 107
51 55 89 17
51 56 0 37
52 53 262 41
52 54 13 50
52 55 92 41
52 56 58 95
52 57 269 12
53 54 0 9
53 55 0 81
53 56 96 135
53 57 53 52
53 58 0 112
54 55 166 90
54 56 93 144
54 57 132 61
54 58 0 121
54 59 278 6
55 56 0 54
55 57 268 29
55 58 0 31
55 59 0 96
55 60 58 84
56 57 163 83
56 58 17 24
56 59 0 151
56 60 153 139
56 61 24 72
57 58 97 59
57 59 0 68
57 60 58 56
57 61 53 11
57 62 145 5
58 59 167 127
58 60 158 115
58 61 176 48
58 62 0 64
58 63 0 120
59 60 217 12
59 61 190 79
59 62 218 63
59 63 236 7
59 64 229 15
60 61 80 67
60 62 0 51
60 63 232 5
60 64 21 3
60 65 26 152
61 62 63 16
61 63 137 72
61 64 92 64
61 65 118 85
61 66 165 45
62 63 218 56
62 64 120 48
62 65 0 101
62 66 0 61
62 67 170 108
63 64 0 8
63 65 84 157
63 66 0 117
63 67 0 164
63 68 115 89
64 65 119 149
64 66 135 109
64 67 107 156
64 68 131 81
64 69 57 21
65 66 171 40
65 67 201 8
65 68 43 68
65 69 118 128
65 70 116 45
66 67 129 47
66 68 0 29
66 69 190 89
66 70 231 6
66 71 86 89
67 68 38 76
67 69 160 136
67 70 62 53
67 71 0 136
67 72 128 95
68 69 197 60
68 70 103 23
68 71 229 61
68 72 174 20
68 73 4 75
69 70 0 83
69 71 48 1
69 72 0 41
69 73 200 15
69 74 120 82
70 71 114 83
70 72 68 42
70 73 90 98
70 74 0 1
70 75 20 46
71 72 75 41
71 73 209 14
71 74 0 82
71 75 0 38
71 76 0 42
72 73 129 56
72 74 195 41
72 75 139 4
72 76 186 83
72 77 118 41
73 74 168 97
73 75 34 52
73 76 152 28
73 77 0 15
73 78 0 63
74 75 0 45
74 76 55 124
74 77 0 82
74 78 195 34
74 79 181 81
75 76 0 80
75 77 103 37
75 78 148 11
75 79 265 37
75 80 118 101
76 77 206 42
76 78 86 90
76 79 224 43
76 80 0 180
76 81 125 116
77 78 154 48
77 79 147 1
77 80 72 138
77 81 176 74
77 82 163 55
78 79 74 47
78 80 113 90
78 81 232 26
78 82 290 7
78 83 33 69
79 80 85 137
79 81 90 74
79 82 0 54
79 83 91 117
79 84 110 144
80 81 0 64
80 82 0 83
80 83 0 20
80 84 199 7
80 85 200 29
81 82 21 19
81 83 56 43
81 84 86 71
81 85 238 35
81 86 0 29
82 83 0 62
82 84 93 90
82 85 26 54
82 86 42 48
82 87 213 11
83 84 31 28
83 85 0 8
83 86 168 14
83 87 218 74
83 88 0 73
84 85 0 36
84 86 248 42
84 87 0 101
84 88 112 100
84 89 56 80
85 86 219 6
85 87 0 66
85 88 139 65
85 89 227 44
85 90 100 68
86 87 17 60
86 88 42 59
86 89 0 38
86 90 169 74
86 91 23 116
87 88 287 1
87 89 144 22
87 90 8 134
87 91 0 176
87 92 65 101
88 89 157 21
88 90 6 132
88 91 31 174
88 92 26 100
88 93 0 165
89 90 160 112
89 91 23 154
89 92 51 79
89 93 132 144
89 94 97 120
90 91 74 42
90 92 0 32
90 93 86 32
90 94 0 8
90 95 171 64
91 92 211 74
91 93 81 10
91 94 0 34
91 95 73 106
91 96 63 101
92 93 0 65
92 94 0 41
92 95 0 31
92 96 12 26
92 97 50 122
93 94 10 24
93 95 19 96
93 96 0 91
93 97 96 187
93 98 189 34
94 95 40 72
94 96 0 67
94 97 104 163
94 98 0 58
94 99 149 35
90 914 89
0 7 327 38
0 12 276 26
0 5 0 448
0 6 267 26
0 2 145 328
0 9 465 235
0 8 472 299
0 11 290 15
0 14 139 139
0 10 451 251
0 1 71 170
0 4 480 435
1 4 429 191
1 2 227 222
1 13 174 265
1 6 0 123
1 7 0 142
1 12 0 394
1 9 296 457
1 11 464 471
1 0 101 95
2 9 439 334
2 11 0 190
2 6 391 409
2 12 396 124
2 8 278 310
2 10 0 202
2 13 128 134
2 1 402 205
2 5 301 94
2 7 377 451
3 2 68 356
3 8 310 480
3 13 0 480
3 6 124 480
3 14 117 361
3 5 268 142
3 12 445 190
3 9 464 218
3 4 175 36
4 11 0 207
4 9 31 53
4 7 192 349
4 6 299 24
4 10 250 433
4 8 182 210
4 5 425 422
4 12 284 59
4 14 170 313
4 2 446 299
5 9 115 203
5 10 400 310
5 11 0 358
5 13 67 239
5 4 87 381
5 14 240 81
5 7 42 146
5 0 349 75
5 12 0 432
5 8 474 248
5 3 150 229
6 12 351 396
6 1 0 323
6 8 48 348
6 7 374 251
6 3 456 70
6 10 228 294
6 5 249 427
6 0 289 428
6 4 175 43
6 2 373 122
6 13 113 163
7 10 0 442
7 9 148 137
7 12 80 239
7 2 385 235
7 4 0 202
7 8 220 233
7 3 0 409
7 13 285 88
7 14 48 38
7 0 0 467
8 6 0 179
8 3 0 53
8 10 12 152
8 0 300 421
8 14 351 159
8 11 0 49
8 9 458 353
8 12 239 178
8 13 290 389
8 1 0 204
8 2 137 385
9 3 0 272
9 8 0 257
9 4 243 446
9 14 30 168
9 11 112 208
9 7 0 397
9 13 239 47
9 10 0 300
10 7 306 22
10 2 97 281
10 14 42 461
10 6 170 432
10 1 480 449
10 12 158 139
10 0 316 231
10 8 0 187
11 2 14 378
11 5 216 287
11 9 179 334
11 6 262 301
11 10 443 281
11 14 7 326
11 12 0 467
11 13 152 255
11 7 137 65
11 8 122 423
12 13 66 89
12 9 0 469
12 2 449 472
12 4 122 430
12 3 0 359
12 5 0 11
12 7 25 72
12 1 0 234
12 11 320 134
12 10 332 268
12 8 0 45
12 6 318 385
13 2 270 18
13 8 9 254
13 4 51 191
13 9 293 234
13 14 0 348
13 0 0 320
13 11 222 336
13 12 252 387
13 7 224 328
13 10 408 186
13 5 186 135
13 6 0 24
14 1 86 316
14 8 404 21
14 12 108 362
14 5 21 128
14 4 293 50
14 10 239 220
14 3 129 412
14 9 0 228
14 11 387 354
14 0 267 362
14 7 131 184
14 15 343 125
15 20 0 167
15 18 386 100
15 27 0 119
15 24 414 469
15 26 0 462
15 28 366 247
15 29 34 287
15 19 363 263
16 18 386 27
16 20 135 75
16 26 168 482
16 29 193 60
16 22 110 5
16 27 33 145
16 17 423 266
16 15 0 63
16 23 0 108
16 25 22 34
17 29 168 13
17 21 230 59
17 22 0 65
17 25 258 266
17 27 68 314
17 26 19 192
17 15 190 63
17 28 135 119
17 16 270 72
17 24 167 143
17 23 135 201
18 15 56 455
18 17 0 36
18 29 0 134
18 28 122 426
18 16 141 70
18 19 135 254
18 21 0 34
18 23 60 173
19 16 280 334
19 25 262 402
19 26 171 302
19 18 137 189
19 24 359 75
19 15 52 48
19 29 299 99
19 21 215 227
19 23 364 74
19 17 0 465
20 26 393 178
20 29 338 348
20 22 277 314
20 15 12 16
20 19 377 358
20 23 100 122
20 28 273 139
20 17 0 56
20 16 242 362
21 24 0 472
21 16 0 264
21 25 262 297
21 29 219 349
21 22 291 452
21 19 437 282
21 23 0 236
21 28 54 72
21 17 314 56
21 27 321 67
21 26 110 54
21 20 352 11
22 20 91 214
22 21 177 156
22 15 0 206
22 29 327 108
22 27 0 76
22 25 0 365
22 24 461 20
22 23 338 308
22 18 363 140
22 17 102 257
22 28 132 334
23 19 194 371
23 28 5 86
23 29 0 253
23 21 0 430
23 25 69 238
23 17 71 6
23 20 7 127
23 22 113 480
23 27 7 52
23 26 313 348
24 22 0 137
24 27 288 263
24 18 44 241
24 23 142 262
24 28 337 67
24 17 148 472
24 15 261 32
24 25 101 372
25 15 61 299
25 27 0 347
25 16 183 328
25 19 446 373
25 26 21 301
25 22 187 101
25 17 301 456
25 29 103 435
25 20 0 316
25 28 68 42
25 18 444 230
26 22 184 93
26 23 262 425
26 28 0 209
26 15 28 386
26 17 0 280
26 18 274 12
26 20 412 269
26 19 162 289
26 29 400 32
26 27 49 164
26 24 364 127
27 21 440 213
27 24 0 256
27 20 6 196
27 26 410 70
27 25 172 445
27 15 437 199
27 29 332 478
27 22 167 33
27 23 78 438
27 28 229 460
27 19 198 470
28 17 0 368
28 29 426 437
28 27 362 367
28 26 135 183
28 18 286 202
28 20 0 418
28 25 71 311
28 23 123 471
28 16 282 67
28 22 204 130
29 22 49 390
29 19 457 20
29 16 445 94
29 20 142 123
29 25 267 297
29 15 199 359
29 27 34 58
29 26 463 218
29 30 0 440
30 32 346 144
30 38 275 113
30 39 393 469
30 43 192 451
30 37 403 46
30 40 346 379
30 41 0 53
30 31 198 353
30 35 112 125
30 34 0 134
30 33 0 211
31 32 100 144
31 34 186 235
31 36 0 306
31 38 28 371
31 44 411 408
31 35 195 271
31 37 0 453
31 40 283 287
31 39 0 24
31 30 0 60
31 33 0 122
31 42 246 234
32 43 0 188
32 41 0 234
32 37 182 226
32 30 364 223
32 31 398 38
32 42 305 122
32 36 260 129
32 44 171 347
32 33 441 394
33 42 0 473
33 43 150 126
33 35 169 362
33 32 0 6
33 39 0 290
33 30 172 37
33 36 349 148
33 31 416 28
33 37 0 60
34 37 258 136
34 44 442 446
34 43 0 468
34 31 333 266
34 40 0 214
34 41 404 332
34 39 325 376
34 38 75 425
34 35 0 463
35 31 86 197
35 41 230 180
35 39 353 332
35 42 14 113
35 36 0 15
35 33 314 345
35 40 249 268
35 30 148 443
35 43 176 372
35 44 0 35
35 32 184 254
36 42 222 256
36 32 0 377
36 38 274 26
36 31 0 105
36 44 46 148
36 34 0 239
36 35 0 250
36 30 181 48
36 33 33 410
36 40 321 249
36 41 93 402
36 39 0 66
37 31 16 281
37 35 295 407
37 36 182 460
37 43 269 85
37 42 178 125
37 38 90 56
37 39 249 95
37 44 331 322
37 41 0 74
37 40 293 173
37 34 0 178
37 30 258 199
38 36 114 310
38 34 454 48
38 44 79 31
38 37 119 402
38 31 81 185
38 43 0 311
38 33 449 432
38 39 231 17
38 40 357 162
39 40 48 176
39 42 42 306
39 34 273 215
39 37 110 430
39 43 413 431
39 41 73 268
39 30 194 73
39 36 194 112
39 33 468 222
39 35 166 323
40 34 361 242
40 36 266 6
40 38 94 3
40 44 109 346
40 35 108 175
40 31 194 105
40 30 172 9
40 37 134 38
40 32 258 80
40 41 109 182
40 42 418 349
41 35 0 378
41 40 328 48
41 33 169 417
41 32 261 89
41 37 303 345
41 31 215 32
41 44 377 464
41 36 159 62
42 43 72 275
42 34 20 447
42 30 247 309
42 35 177 98
42 40 360 114
42 41 0 286
42 38 472 277
42 36 58 84
42 33 0 394
43 30 369 196
43 34 68 128
43 38 57 417
43 35 268 39
43 32 8 119
43 33 0 337
43 39 432 461
43 42 44 197
43 36 0 23
43 31 365 449
44 32 0 80
44 34 368 81
44 43 0 125
44 35 81 53
44 37 0 121
44 41 229 392
44 36 203 250
44 38 102 206
44 45 464 424
45 57 0 206
45 53 0 151
45 50 354 320
45 58 378 8
45 59 0 351
45 52 0 147
45 46 43 152
45 49 239 427
45 55 231 370
46 58 0 144
46 55 166 368
46 53 421 310
46 45 0 415
46 57 350 330
46 49 0 479
46 48 472 198
46 56 191 416
46 47 247 19
46 51 0 385
47 54 161 362
47 59 125 344
47 53 277 449
47 55 0 132
47 50 422 81
47 49 466 379
47 52 113 467
47 56 444 271
48 59 458 169
48 57 454 443
48 49 448 451
48 54 0 332
48 53 403 161
48 56 361 259
48 45 0 258
48 46 0 306
49 58 0 175
49 59 386 257
49 56 150 367
49 46 0 280
49 50 0 209
49 57 307 27
49 53 0 196
49 52 421 363
49 54 101 18
50 53 0 212
50 51 415 377
50 47 361 316
50 55 12 322
50 56 75 6
50 48 402 33
50 57 0 329
50 52 299 371
51 47 436 379
51 48 28 327
51 57 479 316
51 55 285 400
51 56 416 36
51 52 0 193
51 45 121 204
51 49 221 386
51 53 317 37
51 46 64 153
52 57 222 337
52 50 78 28
52 49 378 476
52 53 432 36
52 58 317 125
52 54 423 226
52 51 0 428
52 56 0 159
52 55 158 321
52 47 0 23
52 48 0 47
53 59 246 302
53 45 55 471
53 58 92 318
53 46 0 463
53 57 0 33
53 56 151 390
53 54 0 110
53 50 174 337
53 55 0 21
53 51 0 213
53 47 418 294
54 52 431 467
54 53 199 383
54 55 0 428
54 46 38 122
54 51 0 17
54 59 281 23
54 48 0 367
54 58 176 447
54 45 0 131
55 48 279 141
55 57 86 424
55 51 360 301
55 54 355 248
55 52 231 169
55 53 291 441
55 56 462 434
55 49 457 205
55 50 396 60
55 58 0 114
56 47 0 137
56 51 0 118
56 52 100 326
56 59 271 291
56 54 110 97
56 50 183 450
56 46 220 247
56 57 52 348
56 53 0 460
57 48 471 455
57 54 0 301
57 56 307 91
57 51 327 448
57 49 306 78
57 45 138 194
57 53 11 182
57 50 162 266
57 55 132 239
57 59 426 414
57 52 86 212
58 51 247 112
58 47 185 90
58 53 110 382
58 46 324 361
58 52 17 37
58 55 89 203
58 57 368 115
58 49 0 108
59 53 48 199
59 50 212 401
59 46 240 378
59 54 382 295
59 47 226 262
59 51 0 283
59 49 194 26
59 52 380 347
59 56 0 416
59 60 483 351
60 63 333 292
60 65 0 258
60 67 439 419
60 73 406 3
60 66 0 228
60 70 256 11
60 68 93 178
60 64 464 360
61 71 422 119
61 73 35 3
61 70 170 388
61 69 0 227
61 63 211 203
61 74 0 62
61 64 95 118
61 72 479 456
61 62 0 165
61 68 226 241
61 66 0 98
61 65 0 232
62 64 220 471
62 69 0 11
62 65 275 303
62 70 117 130
62 71 123 182
62 63 0 251
62 66 353 102
62 67 418 389
62 73 0 297
62 60 331 284
62 74 437 346
62 68 302 477
63 74 363 247
63 73 386 220
63 71 384 452
63 69 185 193
63 68 86 342
63 61 461 67
63 70 163 141
63 64 185 44
63 66 366 123
63 67 188 392
63 60 54 479
64 66 119 327
64 61 67 429
64 70 0 458
64 65 441 219
64 63 443 419
64 71 378 457
64 67 209 199
64 74 296 146
64 62 101 411
64 68 0 446
64 60 0 43
64 72 305 214
65 67 0 415
65 71 416 175
65 68 424 23
65 74 118 425
65 69 126 251
65 61 113 417
65 63 19 332
65 72 296 323
65 64 0 206
65 62 398 303
66 70 81 20
66 68 369 142
66 60 194 288
66 71 363 52
66 73 406 447
66 65 407 459
66 67 350 357
66 74 229 254
66 63 313 3
66 72 0 274
66 61 0 313
66 64 407 352
67 60 406 6
67 64 249 349
67 62 212 143
67 71 0 90
67 68 92 126
67 65 182 465
67 63 369 209
67 70 182 141
67 72 0 212
67 73 243 436
67 69 184 380
68 71 419 135
68 74 24 301
68 70 140 186
68 73 0 472
68 69 288 98
68 67 402 351
68 66 446 110
68 62 0 12
68 63 0 133
69 60 369 317
69 73 228 298
69 63 364 426
69 64 24 65
69 66 318 64
69 72 397 454
69 67 408 402
69 71 360 68
69 68 46 198
69 70 0 342
70 71 44 425
70 74 18 50
70 66 316 316
70 63 256 480
70 65 336 244
70 62 0 431
70 68 268 126
70 72 0 423
70 64 174 88
70 61 212 451
70 67 110 279
71 63 270 151
71 66 371 469
71 73 269 431
71 64 282 277
71 68 9 12
71 69 0 297
71 70 127 166
71 65 301 34
71 61 0 253
71 74 329 199
71 62 462 433
72 70 295 105
72 68 481 309
72 62 0 296
72 60 28 378
72 65 256 85
72 63 292 325
72 74 19 139
72 61 0 388
72 71 239 317
72 64 94 93
72 66 13 304
72 67 0 186
73 70 108 221
73 74 0 118
73 63 156 457
73 71 284 314
73 66 0 168
73 62 187 284
73 65 90 32
73 68 150 455
73 69 312 191
73 60 238 41
74 62 0 435
74 66 351 482
74 64 5 150
74 73 85 16
74 70 341 192
74 72 197 481
74 60 440 345
74 67 277 105
74 63 109 397
74 75 403 312
75 88 211 287
75 87 70 464
75 79 0 191
75 76 125 310
75 89 0 153
75 83 0 458
75 86 85 291
75 81 288 476
75 82 325 407
75 77 375 443
75 80 345 127
76 89 0 185
76 83 0 79
76 80 203 401
76 78 0 155
76 81 277 330
76 87 15 168
76 75 454 274
76 86 375 128
76 88 281 379
77 79 296 83
77 75 62 52
77 78 124 305
77 86 235 193
77 81 74 250
77 83 137 38
77 85 385 246
77 82 27 170
77 89 213 249
77 87 103 193
78 88 59 337
78 86 117 481
78 82 0 307
78 76 17 210
78 80 0 371
78 77 0 222
78 75 97 435
78 84 152 259
78 83 321 30
78 89 162 248
78 87 258 203
78 85 165 339
79 81 312 119
79 88 110 437
79 85 0 367
79 80 253 194
79 76 73 417
79 78 191 242
79 82 478 168
79 86 96 232
79 84 468 72
79 83 278 391
79 87 191 155
79 89 384 399
80 89 283 263
80 82 0 473
80 75 468 427
80 81 0 448
80 78 432 445
80 77 291 268
80 86 425 58
80 85 384 121
81 86 0 417
81 85 199 417
81 87 0 155
81 77 260 415
81 89 310 449
81 80 0 16
81 83 311 414
81 84 141 332
81 82 422 140
81 75 123 120
81 76 0 164
81 88 0 411
82 77 0 70
82 76 267 94
82 86 0 82
82 88 200 303
82 87 0 404
82 78 475 311
82 75 372 174
82 83 25 222
82 81 441 367
82 84 0 128
82 85 81 408
83 89 198 95
83 76 328 276
83 86 321 427
83 75 0 162
83 80 240 480
